Line#,Date,Water Content TFO 0107,Temperature TFO 0107,Water Content TFO 0117,Temperature TFO 0117,Water Content TFO 0204,Temperature TFO 0204,Water Content TFO 0214,Temperature TFO 0214,Water Content TFO 0306,Temperature TFO 0306,Water Content RBP 0101,Temperature RBP 0101,Water Content RBP 0105,Temperature RBP 0105,Water Content RBP 0103,Temperature RBP 0103,Water Content RBP 0300,Temperature RBP 0300
1,6/10/2024 0:00,,,0.3394,20.5,0.1731,17.9,0.2072,17.9,0.466,17.5,0.297,16.7,0.2409,17.1,0.582,16,0.495,19.5
2,6/10/2024 0:05,,,0.3391,20.5,0.1726,17.9,0.2073,17.9,0.466,17.5,0.2963,16.7,0.241,17.1,0.582,16,0.495,19.5
3,6/10/2024 0:10,,,0.3394,20.5,0.1725,17.9,0.2069,17.9,0.466,17.5,0.2967,16.7,0.2407,17.1,0.581,16,0.495,19
4,6/10/2024 0:15,,,0.3392,20.5,0.173,17.9,0.2072,17.9,0.466,17.5,0.2967,16.7,0.241,17.1,0.582,16,0.495,19
5,6/10/2024 0:20,,,0.3395,20.5,0.1724,17.9,0.2074,17.9,0.466,17.5,0.297,16.7,0.2405,17.1,0.581,16,0.494,19
6,6/10/2024 0:25,,,0.3391,20.4,0.1727,17.9,0.2072,17.9,0.466,17.5,0.2965,16.7,0.241,17.1,0.581,16,0.494,19
7,6/10/2024 0:30,,,0.3395,20.4,0.1729,17.9,0.2067,17.9,0.466,17.5,0.2964,16.7,0.2409,17.1,0.581,16,0.494,19
8,6/10/2024 0:35,,,0.3393,20.4,0.1731,17.9,0.2072,17.9,0.466,17.5,0.297,16.7,0.2404,17.1,0.581,16,0.494,19
9,6/10/2024 0:40,,,0.3394,20.4,0.1732,17.9,0.2073,17.9,0.466,17.5,0.2971,16.7,0.2411,17.1,0.581,15.5,0.494,19
10,6/10/2024 0:45,,,0.3399,20.4,0.1728,17.9,0.207,17.9,0.466,17.5,0.2969,16.7,0.241,17.1,0.582,15.5,0.494,19
11,6/10/2024 0:50,,,0.3392,20.3,0.1725,17.8,0.2068,17.9,0.465,17.5,0.2968,16.7,0.2408,17.1,0.581,15.5,0.494,19
12,6/10/2024 0:55,,,0.3394,20.3,0.1729,17.8,0.207,17.9,0.465,17.5,0.2966,16.7,0.2411,17.1,0.581,15.5,0.493,19
13,6/10/2024 1:00,,,0.3394,20.3,0.1725,17.8,0.207,17.9,0.466,17,0.2966,16.7,0.2412,17.1,0.582,16,0.493,19
14,6/10/2024 1:05,,,0.3393,20.2,0.1731,17.8,0.207,17.9,0.466,17,0.2962,16.7,0.2407,17.1,0.581,15.5,0.494,19.5
15,6/10/2024 1:10,,,0.3396,20.2,0.1731,17.8,0.2066,17.9,0.465,17,0.296,16.7,0.2408,17.1,0.582,15.5,0.494,19.5
16,6/10/2024 1:15,,,0.3391,20.2,0.1726,17.8,0.2071,17.9,0.466,17,0.2961,16.7,0.2407,17.1,0.581,15.5,0.494,19
17,6/10/2024 1:20,,,0.3396,20.2,0.1726,17.8,0.2066,17.9,0.465,17,0.2961,16.7,0.2411,17.1,0.581,15.5,0.493,19
18,6/10/2024 1:25,,,0.3399,20.1,0.1724,17.7,0.2072,17.9,0.465,17,0.2961,16.7,0.2413,17.1,0.582,15.5,0.493,19
19,6/10/2024 1:30,,,0.3396,20.1,0.1727,17.7,0.2068,17.9,0.465,17,0.2961,16.7,0.2408,17.1,0.581,15.5,0.493,19
